case_id,ohnesorge,bond,outcome
c001,0.001,0.001,multiple-drops
c002,0.003,0.001,multiple-drops
c003,0.010,0.001,one-drop
c004,0.030,0.001,one-drop
c005,0.100,0.001,no-jet
c006,0.001,0.010,multiple-drops
c007,0.003,0.010,multiple-drops
c008,0.010,0.010,one-drop
c009,0.030,0.010,one-drop
c010,0.100,0.010,no-jet
c011,0.001,0.100,one-drop
c012,0.003,0.100,one-drop
c013,0.010,0.100,one-drop
c014,0.030,0.100,no-jet
c015,0.100,0.100,no-jet
c016,0.001,1.000,one-drop
c017,0.003,1.000,one-drop
c018,0.010,1.000,no-jet
c019,0.030,1.000,no-jet
c020,0.100,1.000,no-jet
